BASE_YM,SIGNGU_NM,SIGNGU_CD,N20S_POPLTN_CO,N30S_POPLTN_CO,N40S_POPLTN_CO,N50S_POPLTN_CO,N60S_POPLTN_CO,N70S_POPLTN_CO
"202509","강원특별자치도 강릉시","51150","25141","22040","27120","35395","35952","33913"
"202509","강원특별자치도 고성군","51820","3967","2616","2381","3641","4909","5200"
"202509","강원특별자치도 동해시","51170","8700","8078","11353","14962","14433","13298"
"202509","강원특별자치도 삼척시","51230","5476","4531","5976","9116","10573","10616"
"202509","강원특별자치도 속초시","51210","8045","8667","10048","13511","14029","11660"
"202509","강원특별자치도 양구군","51800","2063","2233","2272","2710","3543","2995"
"202509","강원특별자치도 양양군","51830","1972","1978","2777","4021","5285","5917"
"202509","강원특별자치도 영월군","51750","2560","2234","3253","5503","7693","7409"
"202509","강원특별자치도 원주시","51130","46174","45147","50573","59321","54030","39682"
"202509","강원특별자치도 인제군","51810","2836","3343","3157","4021","5349","4291"
"202509","강원특별자치도 정선군","51770","2287","2257","3614","5668","7278","6626"
"202509","강원특별자치도 철원군","51780","4243","4349","4207","5728","6812","6649"
"202509","강원특별자치도 춘천시","51110","42593","38322","38129","44771","43258","37783"
"202509","강원특별자치도 태백시","51190","2998","2347","4421","6088","6751","6853"
"202509","강원특별자치도 평창군","51760","3008","3102","4103","6598","8953","7824"
"202509","강원특별자치도 홍천군","51720","5751","6114","6734","9812","14453","12590"
"202509","강원특별자치도 화천군","51790","2159","1848","1474","2586","3631","3509"
"202509","강원특별자치도 횡성군","51730","3443","3672","4586","6726","10500","9343"
"202509","경기도 가평군","41820","5469","5525","6539","9593","12486","11876"
"202509","경기도 고양시 덕양구","41281","57380","68323","72077","82312","71046","53680"
"202509","경기도 고양시 일산동구","41285","40886","41479","45735","57808","46394","31191"
"202509","경기도 고양시 일산서구","41287","40117","36823","43381","58029","45672","32320"
"202509","경기도 과천시","41290","7899","10420","10696","10437","9261","6746"
"202509","경기도 광명시","41210","34413","35598","41792","48055","41385","30413"
"202509","경기도 광주시","41610","45120","57305","69701","67653","58521","40478"
"202509","경기도 구리시","41310","24385","25520","28175","33785","29570","20381"
"202509","경기도 군포시","41410","35144","38418","39852","48486","44565","29857"
"202509","경기도 김포시","41570","60022","83916","103850","79820","62220","47621"
"202509","경기도 남양주시","41360","88623","82206","113493","123837","97979","78928"
"202509","경기도 동두천시","41250","10596","10326","12677","15942","14975","13657"
"202509","경기도 부천시 소사구","41194","27158","34462","39633","41118","43788","29498"
"202509","경기도 부천시 오정구","41196","19356","20146","21211","29610","28686","18384"
"202509","경기도 부천시 원미구","41192","55820","65120","65161","72897","71192","43094"
"202509","경기도 성남시 분당구","41135","63734","73045","82392","84350","63444","51833"
"202509","경기도 성남시 수정구","41131","35855","38859","37751","43649","43297","32080"
"202509","경기도 성남시 중원구","41133","26617","32484","30708","35332","35172","26447"
"202509","경기도 수원시 권선구","41113","49333","58546","59567","63999","55560","33240"
"202509","경기도 수원시 영통구","41117","63165","66735","64810","59556","38662","21504"
"202509","경기도 수원시 장안구","41111","43342","36589","37047","48705","40591","28766"
"202509","경기도 수원시 팔달구","41115","30354","34544","30290","36765","33533","23083"
"202509","경기도 시흥시","41390","69602","92416","103909","102200","75182","39021"
"202509","경기도 안산시 단원구","41273","51104","68820","71989","79895","63008","30663"
"202509","경기도 안산시 상록구","41271","55516","49156","51259","69181","56448","32266"
"202509","경기도 안성시","41550","29219","35543","35500","35297","31007","24263"
"202509","경기도 안양시 동안구","41173","42239","50284","50959","55511","46432","30690"
"202509","경기도 안양시 만안구","41171","30618","35446","32495","40358","41792","30319"
"202509","경기도 양주시","41630","28952","33314","37607","41013","33704","27626"
"202509","경기도 양평군","41830","9175","9345","13307","18563","24063","22759"
"202509","경기도 여주시","41670","11710","13071","15493","18802","20559","18058"
"202509","경기도 연천군","41800","4101","4414","3925","5577","7631","7754"
"202509","경기도 오산시","41370","33620","43407","50582","44138","30947","18788"
"202509","경기도 용인시 기흥구","41463","66626","59225","74715","81203","53027","48293"
"202509","경기도 용인시 수지구","41465","51713","50000","66416","64828","40982","41235"
"202509","경기도 용인시 처인구","41461","38139","39385","44748","46658","39249","28767"
"202509","경기도 의왕시","41430","18562","21890","20720","24736","24317","16384"
"202509","경기도 의정부시","41150","62670","60478","66898","80373","69815","54903"
"202509","경기도 이천시","41500","30029","36042","38603","36199","31369","22443"
"202509","경기도 파주시","41480","58811","69599","81819","80817","61541","48511"
"202509","경기도 평택시","41220","78313","100258","104766","101337","74039","48648"
"202509","경기도 포천시","41650","21019","29714","24766","27276","28110","20535"
"202509","경기도 하남시","41450","35545","45669","54761","46201","40149","29800"
"202509","경기도 화성시","41590","131288","189032","203192","152533","98883","60313"
"202509","경상남도 거제시","48310","26072","34467","50874","45412","32664","20395"
"202509","경상남도 거창군","48880","5059","4733","6425","9068","10177","11744"
"202509","경상남도 고성군","48820","3463","4183","6105","7622","9463","11488"
"202509","경상남도 김해시","48250","73892","86473","103511","108704","75975","46811"
"202509","경상남도 남해군","48840","2415","2516","3268","5566","7693","11153"
"202509","경상남도 밀양시","48270","9065","9872","10590","14477","19487","20778"
"202509","경상남도 사천시","48240","10265","11396","15601","17775","16289","17194"
"202509","경상남도 산청군","48860","1909","2158","2448","4668","6719","8756"
"202509","경상남도 양산시","48330","38177","48369","60619","59792","49362","36595"
"202509","경상남도 의령군","48720","1450","1720","2091","3235","4669","6591"
"202509","경상남도 진주시","48170","45141","44203","50813","57721","51343","45448"
"202509","경상남도 창녕군","48740","4176","5938","6570","8419","11370","12947"
"202509","경상남도 창원시 마산합포구","48125","17426","17797","23538","26178","29247","29180"
"202509","경상남도 창원시 마산회원구","48127","19821","18993","25845","31763","30843","26133"
"202509","경상남도 창원시 성산구","48123","31712","38811","38900","45703","37502","16233"
"202509","경상남도 창원시 의창구","48121","23458","27692","32096","37105","34246","21621"
"202509","경상남도 창원시 진해구","48129","21871","23685","34608","32279","25975","21518"
"202509","경상남도 통영시","48220","10497","12033","18926","20368","19864","17684"
"202509","경상남도 하동군","48850","2333","2372","3058","5862","7998","10377"
"202509","경상남도 함안군","48730","6235","8392","10249","10387","10910","11034"
"202509","경상남도 함양군","48870","2253","2030","3026","5285","6936","9074"
"202509","경상남도 합천군","48890","2247","2313","2939","5382","8151","11703"
"202509","경상북도 경산시","47290","50024","39427","38064","42577","38581","32907"
"202509","경상북도 경주시","47130","29721","37042","37842","45016","44210","40359"
"202509","경상북도 고령군","47830","2826","4339","4762","5223","6056","6435"
"202509","경상북도 구미시","47190","54154","64620","74366","72038","53358","29636"
"202509","경상북도 김천시","47150","13765","15498","17772","21209","22468","23062"
"202509","경상북도 문경시","47280","4997","4587","6536","9398","12192","13695"
"202509","경상북도 봉화군","47920","1445","1354","2126","3871","6138","7094"
"202509","경상북도 상주시","47250","6807","6457","8576","13001","17422","20201"
"202509","경상북도 성주군","47840","3075","5429","5274","6282","8834","9286"
"202509","경상북도 안동시","47170","17077","14885","18451","24409","25847","27662"
"202509","경상북도 영덕군","47770","2118","2494","3224","4786","6661","9126"
"202509","경상북도 영양군","47760","771","825","1133","2063","3111","3890"
"202509","경상북도 영주시","47210","9313","8684","10897","15693","17558","18917"
"202509","경상북도 영천시","47230","7850","10846","11971","15148","17614","18956"
"202509","경상북도 예천군","47900","3973","5235","6963","7157","8779","11006"
"202509","경상북도 울릉군","47940","385","623","753","1154","1407","1339"
"202509","경상북도 울진군","47930","3894","4770","5263","7332","8555","9346"
"202509","경상북도 의성군","47730","2027","2478","3242","5361","9616","13476"
"202509","경상북도 청도군","47820","2177","2819","3270","5196","8346","10821"
"202509","경상북도 청송군","47750","1201","1505","1826","3249","5007","5982"
"202509","경상북도 칠곡군","47850","13291","16770","22293","21690","16408","12670"
"202509","경상북도 포항시 남구","47111","24054","25493","33237","38070","38278","30248"
"202509","경상북도 포항시 북구","47113","28708","28257","35914","43170","44955","35114"
"202509","광주광역시 광산구","29200","71159","67404","75270","75458","45948","28412"
"202509","광주광역시 남구","29155","25932","21165","28909","31093","29069","27854"
"202509","광주광역시 동구","29110","16101","14021","13528","14711","15075","16820"
"202509","광주광역시 북구","29170","63156","58041","62873","71769","64221","51144"
"202509","광주광역시 서구","29140","43941","36143","41670","50584","40716","33391"
"202509","대구광역시 군위군","27720","913","1413","1526","2594","4641","6100"
"202509","대구광역시 남구","27200","18034","16046","15968","21733","23493","26484"
"202509","대구광역시 달서구","27290","78394","73434","81541","99583","88949","66791"
"202509","대구광역시 달성군","27710","27485","38800","45971","39998","34416","24038"
"202509","대구광역시 동구","27140","37348","43253","46234","54574","54945","53740"
"202509","대구광역시 북구","27230","63768","55154","60235","78052","64713","50044"
"202509","대구광역시 서구","27170","16903","20775","20925","28928","33054","30196"
"202509","대구광역시 수성구","27260","52394","40840","58555","73400","60055","54460"
"202509","대구광역시 중구","27110","13563","15848","13596","13293","11048","12549"
"202509","대전광역시 대덕구","30230","23250","20936","22912","32062","29348","22549"
"202509","대전광역시 동구","30110","43772","33276","29521","35365","34293","34216"
"202509","대전광역시 서구","30170","76819","68763","70707","77717","64124","49671"
"202509","대전광역시 유성구","30200","66200","66546","60939","59291","44459","28513"
"202509","대전광역시 중구","30140","28797","25970","31034","38785","35895","37791"
"202509","부산광역시 강서구","26440","13174","26770","32983","18034","16046","11549"
"202509","부산광역시 금정구","26410","34993","27566","26784","33705","38503","36713"
"202509","부산광역시 기장군","26710","15715","18067","27724","24128","19924","19242"
"202509","부산광역시 남구","26290","42124","30511","34191","39600","38832","39477"
"202509","부산광역시 동구","26170","8774","10958","10428","13056","14537","16319"
"202509","부산광역시 동래구","26260","29103","30389","39565","41990","40751","37607"
"202509","부산광역시 부산진구","26230","48553","46644","42969","50349","54363","51332"
"202509","부산광역시 북구","26320","30710","32879","34428","45919","51240","38422"
"202509","부산광역시 사상구","26530","30301","27834","26317","33313","38879","28654"
"202509","부산광역시 사하구","26380","34573","34155","40596","48685","52523","44526"
"202509","부산광역시 서구","26140","12373","9994","12101","15299","17611","19023"
"202509","부산광역시 수영구","26500","20809","23042","21937","24664","26853","28173"
"202509","부산광역시 연제구","26470","22073","23223","26251","30267","31355","30164"
"202509","부산광역시 영도구","26200","9435","8654","10941","14913","18344","21019"
"202509","부산광역시 중구","26110","6493","5292","4759","6378","7397","7869"
"202509","부산광역시 해운대구","26350","42648","42178","55105","65634","61806","53508"
"202509","서울특별시 강남구","11680","80444","95292","112786","99228","71928","68337"
"202509","서울특별시 강동구","11740","57069","69595","70995","69787","68621","57245"
"202509","서울특별시 강북구","11305","41006","36627","38466","49451","48551","48611"
"202509","서울특별시 강서구","11500","78650","99607","86730","85051","82645","72046"
"202509","서울특별시 관악구","11620","109709","108773","68430","73378","70279","66506"
"202509","서울특별시 광진구","11215","72468","70706","52027","56664","52977","42548"
"202509","서울특별시 구로구","11530","51917","72148","71404","80878","82319","66781"
"202509","서울특별시 금천구","11545","34346","45777","37577","48147","50510","37235"
"202509","서울특별시 노원구","11350","72207","62242","68290","84235","73174","66061"
"202509","서울특별시 도봉구","11320","38597","37527","39875","51795","52785","48809"
"202509","서울특별시 동대문구","11230","81910","73644","54280","54134","50649","48135"
"202509","서울특별시 동작구","11590","73232","70934","55876","60830","56135","52905"
"202509","서울특별시 마포구","11440","69773","78714","61961","60271","46640","41995"
"202509","서울특별시 서대문구","11410","65324","61444","46696","49435","43608","42124"
"202509","서울특별시 서초구","11650","57819","64294","77592","73845","53694","50665"
"202509","서울특별시 성동구","11200","48610","56103","44389","46325","42089","35922"
"202509","서울특별시 성북구","11290","87606","75488","64008","71786","60206","58054"
"202509","서울특별시 송파구","11710","87645","112018","111092","106246","95493","78523"
"202509","서울특별시 양천구","11470","57072","52991","69409","75144","65522","54122"
"202509","서울특별시 영등포구","11560","56520","86971","72711","78370","76086","58691"
"202509","서울특별시 용산구","11170","32012","48808","43276","41966","34365","30484"
"202509","서울특별시 은평구","11380","59817","63228","63371","74120","68231","65270"
"202509","서울특별시 종로구","11110","33084","31332","26324","28277","25646","23450"
"202509","서울특별시 중구","11140","24626","30448","24528","25530","24450","22700"
"202509","서울특별시 중랑구","11260","48589","58093","50982","62178","64522","54307"
"202509","없음(세종시)","36110","47372","59050","74027","56605","37866","26662"
"202509","울산광역시 남구","31140","40541","44121","45579","56261","48783","29959"
"202509","울산광역시 동구","31170","18210","21262","27805","25039","25542","15803"
"202509","울산광역시 북구","31200","24076","29810","37977","36555","27992","13396"
"202509","울산광역시 울주군","31710","26223","29311","34441","42806","35516","23435"
"202509","울산광역시 중구","31110","21742","23259","29201","36071","35590","24826"
"202509","인천광역시 강화군","28710","4408","4515","5996","8984","13880","15734"
"202509","인천광역시 계양구","28245","34702","36883","36861","49800","49604","28248"
"202509","인천광역시 남동구","28200","63251","68956","82506","85576","77456","55194"
"202509","인천광역시 동구","28140","6438","6909","8887","9899","10116","10233"
"202509","인천광역시 미추홀구","28177","60789","63072","64998","69130","64757","54248"
"202509","인천광역시 부평구","28237","63798","80274","76563","88343","86355","59516"
"202509","인천광역시 서구","28260","74834","91652","103177","100840","80577","47122"
"202509","인천광역시 연수구","28185","59138","63406","72605","69126","54595","31304"
"202509","인천광역시 옹진군","28720","1348","1397","1380","2077","3402","3555"
"202509","인천광역시 중구","28110","23499","29371","29905","26941","21090","17144"
"202509","전라남도 강진군","46810","2270","2392","2862","4442","5994","8142"
"202509","전라남도 고흥군","46770","3872","4378","4726","7794","11404","17798"
"202509","전라남도 곡성군","46720","1730","1549","2030","3521","4660","6774"
"202509","전라남도 광양시","46230","16578","16176","20082","27012","21605","14895"
"202509","전라남도 구례군","46730","1492","1178","1895","3489","4521","5948"
"202509","전라남도 나주시","46170","13349","15630","16084","15420","15882","17721"
"202509","전라남도 담양군","46710","3239","3385","4022","6154","7974","9881"
"202509","전라남도 목포시","46110","27113","23369","33852","37877","33020","28004"
"202509","전라남도 무안군","46840","10115","10721","12045","11727","10516","11562"
"202509","전라남도 보성군","46780","2257","2320","2999","4894","6939","10664"
"202509","전라남도 순천시","46150","34956","31187","37100","46409","41424","32593"
"202509","전라남도 신안군","46910","1630","2263","2566","4130","6238","8653"
"202509","전라남도 여수시","46130","32170","31251","36699","44788","43616","38960"
"202509","전라남도 영광군","46870","3842","3626","4522","6848","7880","10220"
"202509","전라남도 영암군","46830","7055","13158","11261","9432","8742","9731"
"202509","전라남도 완도군","46890","3852","5365","5497","6449","7845","10141"
"202509","전라남도 장성군","46880","3393","3966","4562","6052","6869","8793"
"202509","전라남도 장흥군","46800","2482","2534","3311","4995","6402","8964"
"202509","전라남도 진도군","46900","2724","4095","3200","4135","5083","6589"
"202509","전라남도 함평군","46860","1971","2005","2451","3856","5286","7502"
"202509","전라남도 해남군","46820","5240","6762","7659","9794","11909","14683"
"202509","전라남도 화순군","46790","6251","5108","6335","9824","9962","11629"
"202509","전북특별자치도 고창군","52790","3821","4711","5280","7541","9427","12453"
"202509","전북특별자치도 군산시","52130","32244","30610","39043","44914","40116","36847"
"202509","전북특별자치도 김제시","52210","6423","7217","8050","10869","13667","17117"
"202509","전북특별자치도 남원시","52190","6731","5762","7952","12369","12804","15823"
"202509","전북특별자치도 무주군","52730","1479","1307","1928","3278","4348","5425"
"202509","전북특별자치도 부안군","52800","3165","3301","4136","6490","8739","11223"
"202509","전북특별자치도 순창군","52770","1837","1477","2263","3651","4448","6234"
"202509","전북특별자치도 완주군","52710","11908","13700","13443","15179","14943","14823"
"202509","전북특별자치도 익산시","52140","35913","30201","34754","45476","43391","39515"
